=== Page view data are normalized to 30 day months ===

=== Page view totals non-mobile + mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,,,,,,,,,,,,,,,,Swedish Mobile,,,,,,,,,,,,,,,,,,,,,,,,936293,2287219,2432856,2579722,2760331,3054648,3737790,4659670,4849584,4549846,4905740,5005645,5300880,6258236,5694614,5258634,7029178,8848962,11103400,12289004,11876569,14111009,16944654,15070157,15887357,17080488,17161455,18588267,19729549,21831707,22350705,24552635,27238307,27460031,26179576,30000868,29797340,30857832,28895278,28359037,26848518,27264385,30904097,33873462,34002819,32573930,31021586,32197309,35507942,41356722,42975009,45060401,44154310,46866988,46387264,51570923,49314522,48592663,48873205,49795913,44059457,Swedish Mobile
,,,,,,,,,,,,,,,,,,,,,,,Persian Mobile,,,,,,,,,,,,,,,,,,,,,,,,7973,12877,10431,7363,17541,6009,2572,1941,3058,29700,191298,294581,308701,221603,574673,621853,805654,1148111,1437544,1742640,1522782,2682380,6982228,3380981,3400842,2915192,3673984,3855212,3531096,4613925,5186607,5582311,7727561,6582275,6162293,7057586,8124698,8871243,8912702,8545988,8647241,8415739,9963542,11369681,11395842,10988622,11571672,11734656,12974299,15564325,15767512,16585226,19245842,22933558,24778972,25564429,26714208,28659628,34088855,33702845,32024871,Persian Mobile
,,,,,,,,,,,,,,,,,,,,,,,Finnish Mobile,,,,,,,,,,,,,,,,,,,,,,,,160724,390006,400386,451247,492520,532808,631575,752369,810081,780338,823728,846059,904600,1068525,1435406,1495606,1893086,2408455,2914395,3084884,3053578,4798218,6255912,4931621,5169971,5647841,5769311,6945183,6843979,7523039,8191988,9182251,10494069,10567983,11006009,13640383,14373377,15731594,15439990,15929344,16185359,16568285,18834170,21425735,22684081,22255007,21965401,23226570,24456686,26356759,27121655,28717234,29031713,29425713,31204122,32919108,32400072,33177885,34150236,33587342,30310140,Finnish Mobile
,,,,,,,,,,,,,,,,,,,,,,,Thai Mobile,,,,,,,,,,,,,,,,,,,,,,,,153184,248640,260624,288652,277045,339364,359953,425124,512939,478628,548052,598356,711919,821839,1190725,1259761,1421200,1876946,2036951,2294982,2487243,3451566,5174284,4009290,4507217,4348194,4531230,5227911,5257010,5978713,6319907,7430685,8348866,8119362,8863980,10982882,12634583,13034198,12517683,13455934,12380666,13809099,14393511,15828221,16544278,15337213,15777542,17830009,20290123,21648499,22416091,23971871,22062245,24266044,26774522,25780185,26543717,25256783,24750603,26726801,26348790,Thai Mobile
,,,,,,,,,,,,,,,,,,,,,,,Vietnamese Mobile,,,,,,,,,,,,,,,,,,,,,,,,265192,741628,904640,1015719,1158829,1300346,1285122,1272249,1544879,1433828,1677735,1683642,1844483,1737997,2559883,2823878,3532421,3844960,4290201,3591142,4638486,5911863,9041013,6293846,6293301,6152631,6564169,7222494,7475461,7851485,8271319,9195436,10780083,11451245,11374640,13055231,15239017,14774932,23512907,16691608,17617416,14879200,15072250,15011971,17676009,18240348,17590775,18120937,18266457,17819159,19042302,22510540,20389755,22941256,21333392,21941267,20761594,25080377,25689732,24711954,24142079,Vietnamese Mobile
,,,,,,,,,,,,,,,,,,,,,,,Hebrew Mobile,,,,,,,,,,,,,,,,,,,,,,,,141179,461718,485556,537581,591551,699442,731056,854812,940821,1015029,1454714,1807458,1859562,1927622,2097514,2187092,3000488,3491567,4061656,4413840,4584054,6320858,8374986,6561460,6601223,7045684,7157844,8579315,8927222,9644083,9520616,11164636,11620971,11985557,13122865,13977346,13968345,14176489,13644916,14550094,12919760,12837328,13845497,15091395,15357313,15060519,16026696,17036427,17148730,20626412,19792853,19197373,19928759,20107966,20370628,21599478,22121039,21366004,25056991,23074455,20925722,Hebrew Mobile
,,,,,,,,,,,,,,,,,,,,,,,Czech Mobile,,,,,,,,,,,,,,,,,,,,,,,,67191,184375,211686,256092,263726,300884,327041,455118,470351,446432,478275,540245,544174,495152,677511,859328,1192761,1477471,1727265,2212995,1922472,3219230,4545372,3188273,2943001,2585775,2961005,4006779,4134807,4618109,4542322,5945939,6867971,6919140,7291531,8408306,8892085,7950121,8332564,8896081,9855760,9547788,10118306,12099830,11956690,11779584,11692859,12443943,12182644,12013935,13134410,15011552,15098952,16244340,16018047,19659113,18790833,19266796,18808740,21448971,18015025,Czech Mobile
,,,,,,,,,,,,,,,,,,,,,,,Hungarian Mobile,,,,,,,,,,,,,,,,,,,,,,,,83483,136444,156069,188062,188771,214704,237752,331463,355024,348519,383108,423663,457118,445706,532068,619572,797894,1081425,1371734,1651252,1554158,2692758,3537910,2690628,2833329,2601224,2930753,3677408,3479322,3968878,4214835,5149389,6165302,5828598,5822800,6599309,6918032,6839025,6801218,7145430,7252874,7670070,8362520,9623584,9502965,9570288,9568842,10378569,10481272,11132449,11660565,12654030,12697838,14296411,14597269,17223937,16955823,17126491,17754954,17522358,15624015,Hungarian Mobile
,,,,,,,,,,,,,,,,,,,,,,,Ukrainian Mobile,,,,,,,,,,,,,,,,,,,,,,,,18237,27789,18965,20554,11732,5588,2035,2532,3208,95389,816340,1113678,933039,413701,418318,1272815,2255935,3019524,4106149,2127859,2693886,4573301,8096980,4413405,2646303,2079697,2138196,4205871,5399766,6351892,7434894,5994877,7709325,7429184,8210216,7975023,7387581,5794303,5957110,9097760,10632270,10599924,12403463,10305147,12173706,11561234,12064055,12358335,9626894,7589540,9044738,16689666,17301360,20884346,20666935,16165998,18188263,18846445,20670409,20914800,14177193,Ukrainian Mobile
,,,,,,,,,,,,,,,,,,,,,,,Danish Mobile,,,,,,,,,,,,,,,,,,,,,,,,173525,476250,541417,702776,689705,725427,892927,1085136,1147546,1044984,1085107,1111114,1168032,1195712,1240886,1220146,1588429,1888665,2688865,2679588,2474753,3644627,4595849,3652361,4116586,3752197,4012743,4735541,4668919,5235670,5603949,6459885,6732507,6802019,6909117,7989019,8325163,7703841,7558398,7751194,8070100,7493635,8931751,9134322,8399455,8468409,8625090,8719395,10195345,11345578,12610126,12744022,12958600,13594293,14614512,15192263,14208192,14210299,14928693,14789408,14007517,Danish Mobile

=== Page view totals per project - non-mobile + mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,Total,9548963850,9500966850,10631635425,11057877447,10845444915,10471538087,11496625072,11679518603,12024841250,11352604137,11825855455,11511681466,10765955556,10938194589,11878039468,12257797755,12008696442,10626595604,11987293460,12516709891,12202506166,15032434009,15224404903,14593246617,13895953453,13761405561,14528727527,14532379459,14938669270,13948549771,15494530626,15602266635,15206258772,14675652530,15136657285,14722781599,14140709196,15061060919,15837393688,17102054063,17422226922,16365306618,18054255629,18127912015,17273496920,17336953008,18020958626,18066021759,17720798749,18185901621,19145308027,19802952959,20346461036,20174309265,22255408265,21785669404,21566176206,20846518060,21020323348,21175578861,19765262352,18382917337,18036427859,18858537570,19074333783,18325322929,20720526853,21045600250,21093397784,20754128995,20699527604,20264854940,20653624198,21204530233,23220093205,21111627425,20683209137,20256870055,20490237189,20445720059,20484629323,20660948195,20415656968,17925526696,Total
,,,,,,,,Wikipedia,9136160863,9087888269,10185582800,10611064181,10462700311,10062529483,11054614903,11230154550,11542429694,10922452791,11366407168,11052873223,10328325034,10482806797,11385102017,11644234269,11410661880,10065980598,11417228424,11967468203,11734595617,14553880566,14741987661,14170347052,13499947552,13371386530,14100865304,14089396496,14474025282,13495384238,15002687171,15057703563,14727782945,14218152762,14654135774,14186335371,13593932405,14508813393,15186187788,16091695912,16588004814,15705257646,17090632383,17435702131,16550372373,16623185989,17264747257,17301828847,17010071761,17421032916,18301797700,18938199394,19493174861,19437796154,21408387976,20926653996,20643183551,19932908540,20061659675,20233669494,18876225348,17569662653,17294681387,18088574551,18210213761,17536606967,19891508169,20175865528,20199689359,19878474054,19877584211,19509661456,19686490931,20350584824,22188104566,20168556007,19720011240,19067406132,19704419417,19628958318,19671877373,19850778639,19544620060,17232937920,Wikipedia
,,,,,,,,Wiktionary,146267488,132413828,151392295,146299976,110633772,123828824,122815838,114786364,125633302,108932620,119749244,122370760,123124538,134589421,146511384,171347369,171900510,173138035,174832418,158186260,129722225,135349827,146913217,133237660,122901833,113562347,129212209,132177988,141675369,142213125,164515205,177162002,158568275,154052739,169373344,178521852,178940023,177195329,256832761,569005293,402217246,223658183,494989616,220361604,212776924,196091152,210724379,234972435,211427112,209581829,230992184,239037993,244890758,229660580,261829961,265033545,263859704,258360389,262221898,271351558,249420295,206876840,193544832,206028979,193945743,191493111,207946864,225872169,222561477,206947770,198059819,222515852,217904048,208790158,261311132,225528669,208296967,232131315,232766051,243086906,224843231,214433841,233385794,184676021,Wiktionary
,,,,,,,,Commons,147198722,166728211,172745424,167751531,155181903,171606409,203440658,215841091,228669608,206210403,216904520,211603143,194753631,187288078,198318542,269267629,253990187,221185599,242518817,234238776,203288687,203952165,201213335,174934060,172118495,173515273,184470049,192223224,192235579,189503109,198748676,228902671,185372852,170391437,175539199,214802296,225011966,236364195,245113122,257511245,242692726,251262938,274431220,262299702,300097005,320552891,331386795,321027639,305985064,341762805,380153797,351322661,325075383,302122842,375938982,414691489,469090138,465664436,488624347,441000234,411281042,394357522,369134260,368615100,419246810,400406559,433805581,451018369,472238849,469629266,396065416,306216364,407641778,368740285,401168507,372066854,346868906,359740091,297583032,328492019,322859999,335367863,369542253,291113615,Commons
,,,,,,,,Wikiquote,33410269,31899804,33465194,36530153,31929790,30656630,31162192,33264651,35734228,33627428,36980568,36295712,38880720,39037208,40214633,39686211,44781070,40020648,39098978,47931355,40883524,43135362,40735762,33968528,29570735,34527170,34882754,34747029,39808002,36195648,39790264,42052486,44370450,50405460,52172843,56201494,55670299,53243674,58314441,71313573,77357784,82113628,85988459,99127504,98605771,91480948,101526667,96700586,91504663,112998911,120030017,155218324,156299588,78117308,59758536,38234223,40782210,41502924,42735580,41543188,38228127,33450107,31076482,34185683,44809227,31786876,29069501,31034489,32667172,30757336,37346447,33695717,51700126,40488181,55280096,58798421,66373067,99259697,27561134,30756462,36927709,31917634,30599559,24579505,Wikiquote
,,,,,,,,Wikisource,32299286,30370379,34081976,38315179,31586568,33484526,32770040,31851106,36474405,33101172,34736880,33918682,30986294,36970891,42131389,56153864,55604893,58528566,50718377,45588804,39772036,37321109,36541868,31609481,26140235,25132148,30547698,33949838,37543511,36181516,37480213,40993402,36937986,32529194,34387424,35023015,36796398,32611064,36092524,44615616,49575956,44328997,46088566,46119506,47072105,45130469,47367346,45885290,41874264,40165133,46670471,48907045,52419083,54133988,55752297,55530379,54010537,55181930,63330159,76936631,73094462,61470262,49083742,50543137,61069036,49030461,44480625,47063730,46881981,48171960,68158910,71162072,91538931,77420566,90768772,89687223,103513884,138408764,68721487,74816269,71552651,66735123,68057955,45872004,Wikisource
,,,,,,,,Wikibooks,34921097,33800577,35628342,37596484,33850161,29712372,32217018,32962743,34680324,29655635,31541084,33125063,30005187,33095520,38152493,42698982,40586692,36956841,36045928,36701913,33289304,37578821,36758783,31392174,27653741,27438003,31552942,32199830,35165858,30135879,31659086,34203200,32915766,30709836,32865974,32648377,29798014,31816143,35426523,43036132,40801466,38002439,40508138,42905985,42963536,39130059,42040409,40150376,35241574,35522604,39687653,44480134,46026822,43170459,46427176,45348911,46686532,44231155,45190745,48910732,43605671,39585847,40828665,41738019,53564539,39839799,41629415,44194851,43650264,42921073,47427996,43884455,58146041,46929073,72592681,71757163,81239704,109135374,37929097,43036094,52371104,46195028,45955398,35433211,Wikibooks
,,,,,,,,Wikidata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814,5123010,13767775,15088618,21695676,26087773,38013978,46134866,26933511,31356548,21168584,29628579,30021723,32814800,43196959,46900992,34785203,38741028,58950439,56634126,76912310,42728331,49847960,73745020,88655819,58584879,57396997,73918612,80922136,79411372,Wikidata
,,,,,,,,Wikinews,12637997,11872431,11976202,13019366,12657205,12637593,12607096,12971875,13682712,12102127,12371892,14021881,12962902,15177837,17296530,21205334,18730737,18997153,17041569,16325595,13143963,13808908,13061093,11408399,11415099,10033317,10370801,10572019,10929603,11904574,12281246,13313558,12700317,12501283,11296006,11919964,13301413,13695087,11827259,15989848,13195136,13274655,13436527,13564528,13136793,13117164,13855126,16882585,16447668,16944402,16912278,16351166,17846483,18415805,19752176,18403730,17366105,16389881,16661785,18029841,18279544,17280868,16789304,22740593,43585408,29674212,28683988,19184810,16296975,15406337,19407079,18703350,36609544,24051822,35004461,39098007,51663190,85515096,14906330,17301824,18654784,15900006,15976150,12028846,Wikinews
,,,,,,,,Wikiversity,6068128,5993351,6763192,7300577,6905205,7082250,6997327,7686223,7536977,6521961,7164099,7473002,6917250,9228837,10312480,13204097,12440473,11788164,9808949,10268985,7810810,7407251,7193184,6349263,6205763,5810773,6825770,7113035,7286066,7031682,7368765,7935753,7610181,6909819,6886721,7329230,7258678,7322034,7599270,8886444,8381794,7408132,8180720,7831055,8472413,8264336,9310647,8574001,8246643,7893021,9063927,9436242,10728058,10892129,10239123,9852735,10478759,10739156,10826482,9840083,9480620,7451627,7462633,7592798,17996657,8038839,6153417,6638291,7003599,7281988,13211946,13134448,30401007,16652143,29011066,34649872,47426686,79775059,8329071,11015400,13645333,12313270,11244472,8607645,Wikiversity
,,,,,,,,Wikivoyage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17319224,6797386,6950895,6451031,7377001,8209327,7633265,6646745,6893043,7162162,8734018,8817526,7227570,11913213,9211149,7638219,7480577,7140198,14241353,14239055,9939614,8756878,7967533,11753507,9365751,9671888,14500142,13388179,15353191,10866557,Wikivoyage

=== Page view totals per project - non-mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,Total,9548963850,9500966850,10631635425,11057877447,10845444915,10471538087,11496625072,11679518603,12024841250,11352604137,11825855455,11511681466,10765955556,10938194589,11878039468,12257797755,12008696442,10626595604,11987293460,12516709891,12202506166,15032434009,15224404903,14384966307,13523821362,13360461488,14103341791,14099766374,14446875010,13392895804,14814003047,14909801721,14583356514,13947419333,14373667187,13921229043,13283301841,14144114176,14950290473,15990913859,16096502660,14831421604,16372820503,16464429660,15414945594,15247567429,16048303807,15992667899,15596129314,15949266509,16793589520,17414498606,17763923186,17465268866,19181348841,18594309847,18341438623,17678151780,17609547781,17496924668,16075607560,14734465079,14326595715,15200422659,15341450930,14236402235,15875062523,16238739595,16295691290,15939770279,15821641690,14984192397,14768054877,15124295298,17031812163,14864816533,14243905484,13398092649,13504447442,13490526780,13638396404,13734633151,13466731014,11475875380,Total
,,,,,,,,Wikipedia,9136160863,9087888269,10185582800,10611064181,10462700311,10062529483,11054614903,11230154550,11542429694,10922452791,11366407168,11052873223,10328325034,10482806797,11385102017,11644234269,11410661880,10065980598,11417228424,11967468203,11734595617,14553880566,14741987661,13962066742,13127815461,12970442457,13675479568,13656783411,13982231022,12939730271,14322159592,14365238649,14104880687,13489919565,13891145676,13384782815,12736525050,13591866650,14299084573,14980555708,15262280552,14171372632,15409197257,15772219776,14691821047,14533800410,15292092438,15228474987,14885402326,15184397804,15950079193,16549745041,16910637011,16728755755,18334328552,17735294439,17418445968,16764542260,16650884108,16555015301,15186570556,13921210395,13584849243,14430459640,14477330908,13447686273,15046043839,15369004873,15401982865,15064115338,14999698297,14228998913,13800921610,14270349889,15999823524,13921745115,13280707587,12208628726,12718629670,12673765039,12825644454,12924463595,12595694106,10783286604,Wikipedia
,,,,,,,,Wiktionary,146267488,132413828,151392295,146299976,110633772,123828824,122815838,114786364,125633302,108932620,119749244,122370760,123124538,134589421,146511384,171347369,171900510,173138035,174832418,158186260,129722225,135349827,146913217,133237660,122901833,113562347,129212209,132177988,141675369,142213125,164515205,177162002,158568275,154052739,169373344,178521852,178940023,177195329,256832761,569005293,402217246,223658183,494989616,220361604,212776924,196091152,210724379,234972435,211427112,209581829,230992184,239037993,244890758,229660580,261829961,265033545,263859704,258360389,262221898,271351558,249420295,206876840,193544832,206028979,193945743,191493111,207946864,225872169,222561477,206947770,198059819,222515852,217904048,208790158,261311132,225528669,208296967,232131315,232766051,243086906,224843231,214433841,233385794,184676021,Wiktionary
,,,,,,,,Commons,147198722,166728211,172745424,167751531,155181903,171606409,203440658,215841091,228669608,206210403,216904520,211603143,194753631,187288078,198318542,269267629,253990187,221185599,242518817,234238776,203288687,203952165,201213335,174934060,172118495,173515273,184470049,192223224,192235579,189503109,198748676,228902671,185372852,170391437,175539199,214802296,225011966,236364195,245113122,257511245,242692726,251262938,274431220,262299702,300097005,320552891,331386795,321027639,305985064,341762805,380153797,351322661,325075383,302122842,375938982,414691489,469090138,465664436,488624347,441000234,411281042,394357522,369134260,368615100,419246810,400406559,433805581,451018369,472238849,469629266,396065416,306216364,407641778,368740285,401168507,372066854,346868906,359740091,297583032,328492019,322859999,335367863,369542253,291113615,Commons
,,,,,,,,Wikiquote,33410269,31899804,33465194,36530153,31929790,30656630,31162192,33264651,35734228,33627428,36980568,36295712,38880720,39037208,40214633,39686211,44781070,40020648,39098978,47931355,40883524,43135362,40735762,33968528,29570735,34527170,34882754,34747029,39808002,36195648,39790264,42052486,44370450,50405460,52172843,56201494,55670299,53243674,58314441,71313573,77357784,82113628,85988459,99127504,98605771,91480948,101526667,96700586,91504663,112998911,120030017,155218324,156299588,78117308,59758536,38234223,40782210,41502924,42735580,41543188,38228127,33450107,31076482,34185683,44809227,31786876,29069501,31034489,32667172,30757336,37346447,33695717,51700126,40488181,55280096,58798421,66373067,99259697,27561134,30756462,36927709,31917634,30599559,24579505,Wikiquote
,,,,,,,,Wikisource,32299286,30370379,34081976,38315179,31586568,33484526,32770040,31851106,36474405,33101172,34736880,33918682,30986294,36970891,42131389,56153864,55604893,58528566,50718377,45588804,39772036,37321109,36541868,31609481,26140235,25132148,30547698,33949838,37543511,36181516,37480213,40993402,36937986,32529194,34387424,35023015,36796398,32611064,36092524,44615616,49575956,44328997,46088566,46119506,47072105,45130469,47367346,45885290,41874264,40165133,46670471,48907045,52419083,54133988,55752297,55530379,54010537,55181930,63330159,76936631,73094462,61470262,49083742,50543137,61069036,49030461,44480625,47063730,46881981,48171960,68158910,71162072,91538931,77420566,90768772,89687223,103513884,138408764,68721487,74816269,71552651,66735123,68057955,45872004,Wikisource
,,,,,,,,Wikibooks,34921097,33800577,35628342,37596484,33850161,29712372,32217018,32962743,34680324,29655635,31541084,33125063,30005187,33095520,38152493,42698982,40586692,36956841,36045928,36701913,33289304,37578821,36758783,31392174,27653741,27438003,31552942,32199830,35165858,30135879,31659086,34203200,32915766,30709836,32865974,32648377,29798014,31816143,35426523,43036132,40801466,38002439,40508138,42905985,42963536,39130059,42040409,40150376,35241574,35522604,39687653,44480134,46026822,43170459,46427176,45348911,46686532,44231155,45190745,48910732,43605671,39585847,40828665,41738019,53564539,39839799,41629415,44194851,43650264,42921073,47427996,43884455,58146041,46929073,72592681,71757163,81239704,109135374,37929097,43036094,52371104,46195028,45955398,35433211,Wikibooks
,,,,,,,,Wikidata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814,5123010,13767775,15088618,21695676,26087773,38013978,46134866,26933511,31356548,21168584,29628579,30021723,32814800,43196959,46900992,34785203,38741028,58950439,56634126,76912310,42728331,49847960,73745020,88655819,58584879,57396997,73918612,80922136,79411372,Wikidata
,,,,,,,,Wikinews,12637997,11872431,11976202,13019366,12657205,12637593,12607096,12971875,13682712,12102127,12371892,14021881,12962902,15177837,17296530,21205334,18730737,18997153,17041569,16325595,13143963,13808908,13061093,11408399,11415099,10033317,10370801,10572019,10929603,11904574,12281246,13313558,12700317,12501283,11296006,11919964,13301413,13695087,11827259,15989848,13195136,13274655,13436527,13564528,13136793,13117164,13855126,16882585,16447668,16944402,16912278,16351166,17846483,18415805,19752176,18403730,17366105,16389881,16661785,18029841,18279544,17280868,16789304,22740593,43585408,29674212,28683988,19184810,16296975,15406337,19407079,18703350,36609544,24051822,35004461,39098007,51663190,85515096,14906330,17301824,18654784,15900006,15976150,12028846,Wikinews
,,,,,,,,Wikiversity,6068128,5993351,6763192,7300577,6905205,7082250,6997327,7686223,7536977,6521961,7164099,7473002,6917250,9228837,10312480,13204097,12440473,11788164,9808949,10268985,7810810,7407251,7193184,6349263,6205763,5810773,6825770,7113035,7286066,7031682,7368765,7935753,7610181,6909819,6886721,7329230,7258678,7322034,7599270,8886444,8381794,7408132,8180720,7831055,8472413,8264336,9310647,8574001,8246643,7893021,9063927,9436242,10728058,10892129,10239123,9852735,10478759,10739156,10826482,9840083,9480620,7451627,7462633,7592798,17996657,8038839,6153417,6638291,7003599,7281988,13211946,13134448,30401007,16652143,29011066,34649872,47426686,79775059,8329071,11015400,13645333,12313270,11244472,8607645,Wikiversity
,,,,,,,,Wikivoyage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17319224,6797386,6950895,6451031,7377001,8209327,7633265,6646745,6893043,7162162,8734018,8817526,7227570,11913213,9211149,7638219,7480577,7140198,14241353,14239055,9939614,8756878,7967533,11753507,9365751,9671888,14500142,13388179,15353191,10866557,Wikivoyage

=== Page view totals per project - mobile ===

,,,,,,,,project,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015
,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,208280310,372132091,400944073,425385736,432613085,491794260,555653967,680527579,692464914,622902258,728233197,762990098,801552556,857407355,916946743,887103215,1111140204,1325724262,1533885014,1681435126,1663482355,1858551326,2089385579,1972654819,2073353860,2124669435,2236635112,2351718507,2388454353,2582537850,2709040399,3074059424,3191359557,3224737583,3168366280,3410775567,3678654193,3689654792,3648452258,3709832144,3658114911,3732882853,4088920694,4845464330,4806860655,4797706494,4814358716,4877885914,5280662543,5885569321,6080234935,6188281042,6246810892,6439303653,6858777406,6985789747,6955193279,6846232919,6926315044,6948925954,6449651316,Total
,,,,,,,,Wikipedia,,,,,,,,,,,,,,,,,,,,,,,,208280310,372132091,400944073,425385736,432613085,491794260,555653967,680527579,692464914,622902258,728233197,762990098,801552556,857407355,916946743,887103215,1111140204,1325724262,1533885014,1681435126,1663482355,1858551326,2089385579,1972654819,2073353860,2124669435,2236635112,2351718507,2388454353,2582537850,2709040399,3074059424,3191359557,3224737583,3168366280,3410775567,3678654193,3689654792,3648452258,3709832144,3658114911,3732882853,4088920694,4845464330,4806860655,4797706494,4814358716,4877885914,5280662543,5885569321,6080234935,6188281042,6246810892,6439303653,6858777406,6985789747,6955193279,6846232919,6926315044,6948925954,6449651316,Wikipedia
,,,,,,,,Wiktionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiktionary
,,,,,,,,Commons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commons
,,,,,,,,Wikiquote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikiquote
,,,,,,,,Wikisource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikisource
,,,,,,,,Wikibooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikibooks
,,,,,,,,Wikidata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikidata
,,,,,,,,Wikinews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikinews
,,,,,,,,Wikiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikiversity
,,,,,,,,Wikivoyage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikivoyage
