Month,Total Mobile,English Mobile,Japanese Mobile,German Mobile,Spanish Mobile,French Mobile,Russian Mobile,Italian Mobile
2015/03/01,6846436746,3276305214,645343547,385759528,540796314,293358704,338160980,278013886
2015/04/01,6926529397,3284883143,644546983,393453426,547163207,295754595,350638735,274400593
2015/05/01,6658054714,3101022856,673366476,408278408,541938518,286243815,286598661,270771974
2015/06/01,6255235617,2972423757,637022640,394839188,506038332,255793360,254488362,265745077
2015/07/01,6162664010,3052404917,637175712,365761493,445769137,243136377,236994808,249291684
2015/08/01,6355954382,3071058555,680614579,374779998,496432470,264833189,237953057,270008527
2015/09/01,6397072366,3053376322,617243712,383179286,542889968,260300943,270410685,271536084
2015/10/01,6439185097,3045129898,576321170,392387521,552113744,269038014,287525718,263867892
2015/11/01,6695537173,3127716717,590705112,429824809,536855456,289408804,312401031,278544211
2015/12/01,6589256086,3165018385,579567068,446641266,435812125,290260050,301565974,276284045
2016/01/01,7353421947,3482339550,645174243,496071809,529584001,321707536,349804790,336700867
